Category,Label,Long Name,DataType,Limits,A2L Unit,A2L Unit Desc.,Unit,Conversion Target Unit,Dev,A2L LongIdentifier,Comment,ID,Problem,Workflow
Basic,Vsx_eng,Engine status,UBYTE,"(0.0, 48.0)",-,State,0xF8000006,,0,Engine states,,1,,0
Basic,Vxx_tco,Engine coolant temperature,UWORD,"(-40.0, 200.0)",DegC,,0xE4924964,K,0,Engine coolant temperature,DegC + 273.15 | format(K¹),2,misfire,0
Basic,Vxx_n,Engine speed,UWORD,"(0.0, 16383.75)",rpm,,0xE4B23924,Hz,0,Engine speed,rpm * 0.016667 | format (Hz),3,misfire+knock,0
Basic,Vxx_vs,Vehicle speed,UWORD,"(0.0, 655.35)",km/h,,0xE4963924,m/s,0,Vehicle speed,km/h  / 3.6 | format (m1.s-1),4,,0
Basic,Vxx_gear,Current gear engaged,UBYTE,"(-1.0, 6.0)",wu,State,0xF8000006,,1,Gear engaged ( [-1 0 1 2 3 4 5 6] ),,5,,0
Basic,Vxx_acel_pdl_rat,Accelerator pedal position,UWORD,"(0.0, 1.25)",ratio,Ratio,0xF8000000,ratio,0,Normalised accelerator pedal position,,6,,0
Basic,Vsx_brk_pdl,Brake pedal - switches consolidation state,UBYTE,"(1.0, 4.0)",,State,0xF8000006,,2,Brake pedal states,,7,,0
Basic,Vbx_raw_sens_bgin_clu_cnt,Clutch pedal - minimum travel switch state - wire,UBYTE,"(0.0, 1.0)",-,Bool,0x00000001,,0,"State of the begin of the clutch pedal (0=pedal released, 1=pedal pressed)",,8,,0
Basic,Vsx_neut_cnt,Neutral engaged switch for manual gearbox,UBYTE,"(0.0, 2.0)",-,State,0xF8000006,,3,Neutral engaged switch for manual gearbox,,9,,0
Basic,Vxx_tdc_ctr,Top Dead Center Counter,UBYTE,"(0.0, 3.0)",TDC,Counter,0xF8000006,,4,"TDC counter, indicates which cylinder is active",,10,,0
Basic,Vbx_igk,Key state,UBYTE,"(0.0, 1.0)",-,Bool,0x00000001,,1,Ignition key signal,,11,all,0
Air Control,Vxx_eal,Engine air load,UWORD,"(0.0, 3.99993896484375)",-,?,0xF8000006,,31,Engine air load,,12,,0
Air Control,Vxx_amp,Atmospheric pressure,UWORD,"(0.0, 20000.0)",hPa,,0xE48EA924,Pa,0,Atmospheric pressure,hPa * 100 | format ( kg⋅m−1⋅s−2),13,,0
Air Control,Vxx_map,Intake manifold pressure,UWORD,"(0.0, 20000.0)",hPa,,0xE48EA924,Pa,1,Manifold pressure value,hPa * 100 | format ( kg⋅m−1⋅s−2),14,misfire+knock,0
Air Control,Vxx_tia,Intake air temperature,UWORD,"(-40.0, 200.0)",DegC,,0xE4924964,K,1,Intake air temperature,DegC + 273.15 | format(K¹),15,,0
